method,run,seed,crossover_rate,crossover_rate_final,allow_shape_mismatch_crossover,crossover_attempts,crossover_shape_match_events,crossover_shape_match_layers,crossover_shape_match_rate,crossover_shape_mismatch_events,crossover_shape_mismatch_layers,crossover_shape_mismatch_rate,final_loss,final_accuracy,final_params,final_topology,final_topology_share,most_common_topology,most_common_topology_share,first_final_topology_generation,first_majority_topology_generation,wall_seconds
svd_crossover_same_dim,44,44,0.5,,False,2830,1665,3337,0.588339222614841,1283,2403,0.45335689045936395,0.5824887780271822,0.85,3211,64-33-24-10,0.65,64-33-24-10,0.65,174,299,61.62855370000034
svd_crossover_same_dim,45,45,0.5,,False,2845,1900,2934,0.6678383128295254,849,1490,0.2984182776801406,0.6429520172837807,0.8111111111111111,3656,64-38-24-10,0.1,64-39-10,0.65,222,259,56.53096820000064
svd_crossover_same_dim,46,46,0.5,,False,2871,1671,2998,0.5820271682340648,944,1755,0.3288052943225357,0.7645807869614799,0.8,1435,64-19-10,0.05,64-37-20-10,0.25,185,193,56.32696880000003
svd_crossover_same_dim,47,47,0.5,,False,2864,1900,2888,0.6634078212290503,767,1275,0.2678072625698324,0.8448998955885523,0.7555555555555555,650,64-10,1.0,64-10,1.0,1,1,54.371310900001845
svd_crossover_same_dim,48,48,0.5,,False,2901,1848,2594,0.6370217166494312,723,1134,0.24922440537745605,0.8944815206761506,0.7638888888888888,650,64-10,0.55,64-10,0.55,1,1,52.66916009999841
svd_crossover_same_dim,49,49,0.5,,False,2949,1909,3085,0.6473380807053238,817,1510,0.2770430654459139,0.8229041902094549,0.7722222222222223,3343,64-35-23-10,0.15,64-35-10,0.5,102,301,54.9897448000047
svd_crossover_same_dim,50,50,0.5,,False,2844,1732,2915,0.6090014064697609,877,1485,0.30836849507735586,0.7449754196997886,0.7916666666666666,3715,64-41-20-10,0.55,64-41-20-10,0.55,291,300,55.634401600000274
svd_crossover_same_dim,51,51,0.5,,False,2837,1872,3464,0.6598519562918576,1062,1939,0.37433909058865,0.5528355126946631,0.8222222222222222,3205,64-35-20-10,0.7,64-35-20-10,0.7,288,297,60.33802110000397
svd_crossover_same_dim,52,52,0.5,,False,2858,1837,3439,0.6427571728481456,1141,1981,0.3992302309307208,0.47488881638565694,0.8694444444444445,2560,64-34-10,0.65,64-34-10,0.65,257,267,59.92560539999977
svd_crossover_same_dim,53,53,0.5,,False,2840,1774,2492,0.6246478873239436,773,1168,0.2721830985915493,0.7747348417810482,0.8,650,64-10,0.85,64-10,0.85,1,1,52.59752209999715
svd_crossover_same_dim,54,54,0.5,,False,2859,1790,3408,0.6260930395243092,1058,1844,0.3700594613501224,0.3946911725193426,0.875,2485,64-33-10,0.65,64-33-10,0.65,240,276,59.5766552999994
svd_crossover_same_dim,55,55,0.5,,False,2921,1918,2508,0.65662444368367,607,844,0.2078055460458747,1.0945126607403808,0.6777777777777778,650,64-10,0.9,64-10,0.9,1,1,51.08318059999874
svd_crossover_same_dim,56,56,0.5,,False,2836,1754,3275,0.6184767277856136,1056,1961,0.3723554301833568,0.6846933993303209,0.8277777777777777,2485,64-33-10,0.85,64-33-10,0.85,251,259,59.8247091000012
svd_crossover_same_dim,57,57,0.5,,False,2893,1708,3408,0.5903905979951607,1284,2501,0.4438299343242309,0.704566661385456,0.8027777777777778,2635,64-35-10,0.6,64-35-10,0.6,42,61,58.74509450000187
svd_crossover_same_dim,58,58,0.5,,False,2827,1816,3201,0.6423770781747435,977,1881,0.3455960382030421,0.6947210156117817,0.8222222222222222,650,64-10,0.95,64-10,0.95,1,1,56.80433440000343
svd_crossover_same_dim,59,59,0.5,,False,2820,1717,3270,0.6088652482269503,1214,2238,0.43049645390070923,0.5507490018751315,0.8388888888888889,2785,64-37-10,0.15,64-37-23-10,0.55,1,7,59.37398799999937
svd_crossover_same_dim,60,60,0.5,,False,2839,1720,3372,0.60584712927087,921,1632,0.32441000352236704,0.6821450401064754,0.7888888888888889,1360,64-18-10,0.55,64-18-10,0.55,225,246,56.710001399995235
svd_crossover_same_dim,61,61,0.5,,False,2881,1788,3041,0.620617841027421,817,1432,0.2835820895522388,0.8225891169536368,0.7583333333333333,1810,64-24-10,0.45,64-24-10,0.45,81,301,55.91432429999986
svd_crossover_same_dim,62,62,0.5,,False,2885,1830,2646,0.634315424610052,800,1221,0.2772963604852686,0.9048489646483066,0.6861111111111111,650,64-10,0.9,64-10,0.9,1,1,53.79536350000126
svd_crossover_same_dim,63,63,0.5,,False,2837,1869,3064,0.6587945012336975,907,1673,0.31970391258371517,0.5985992312860964,0.8444444444444444,1660,64-22-10,0.2,64-23-10,0.75,68,301,55.94197350000468
svd_crossover_same_dim,64,64,0.5,,False,2847,1906,2930,0.6694766420793818,692,1140,0.2430628731998595,0.7149636243158124,0.7916666666666666,650,64-10,0.95,64-10,0.95,1,1,53.84000070000184
svd_crossover_same_dim,65,65,0.5,,False,2875,1907,2832,0.6633043478260869,764,1304,0.2657391304347826,0.7545258938230952,0.8111111111111111,650,64-10,0.95,64-10,0.95,1,1,53.81816720000643
svd_crossover_same_dim,66,66,0.5,,False,2864,1649,3113,0.575768156424581,1115,2061,0.3893156424581006,0.624179491694634,0.8027777777777778,2410,64-32-10,0.3,64-33-10,0.55,252,295,59.00224810000509
svd_crossover_same_dim,67,67,0.5,,False,2846,1691,2962,0.5941672522839072,935,1500,0.3285312719606465,0.5518567938510396,0.85,2785,64-37-10,0.05,64-38-10,0.6,1,14,57.94702200000029
svd_crossover_same_dim,68,68,0.5,,False,2858,1791,3886,0.6266620013995802,1206,2429,0.42197340797760674,0.5849924865004177,0.8277777777777777,3611,64-41-18-10,0.15,64-40-18-10,0.35,124,288,60.471062599994184
svd_crossover_same_dim,69,69,0.5,,False,2853,1816,3557,0.6365229582895198,1035,1802,0.3627760252365931,0.5140141313057334,0.8694444444444445,2260,64-30-10,0.9,64-30-10,0.9,251,257,59.16460960000404
svd_crossover_same_dim,70,70,0.5,,False,2868,1921,3410,0.6698047419804742,899,1457,0.31345885634588566,0.41464762815079437,0.8805555555555555,2860,64-38-10,0.7,64-38-10,0.7,12,184,58.855785300002026
svd_crossover_same_dim,71,71,0.5,,False,2932,1768,3280,0.6030013642564802,1395,2438,0.4757844474761255,0.5542014014999797,0.8388888888888889,2410,64-32-10,0.65,64-32-10,0.65,283,299,60.92485859999579
svd_crossover_same_dim,72,72,0.5,,False,2835,1839,2823,0.6486772486772486,719,1271,0.2536155202821869,0.723609754915416,0.8194444444444444,1510,64-20-10,0.3,64-21-10,0.45,141,295,53.82955570000195
svd_crossover_same_dim,73,73,0.5,,False,2833,1643,3135,0.5799505824214614,991,1697,0.34980585951288384,0.6639819926167374,0.8194444444444444,2260,64-30-10,0.75,64-30-10,0.75,89,122,58.253949199999624
svd_crossover_same_dim,74,74,0.5,,False,2815,1880,2514,0.6678507992895204,650,1128,0.23090586145648312,0.8648161606654818,0.7166666666666667,650,64-10,1.0,64-10,1.0,1,1,52.89170140000351
svd_crossover_same_dim,75,75,0.5,,False,2898,1857,3668,0.6407867494824017,1350,2685,0.4658385093167702,0.6149301845908167,0.8305555555555556,2047,64-21-21-10,0.6,64-21-21-10,0.6,284,289,60.70627780000359
svd_crossover_same_dim,76,76,0.5,,False,2838,1747,2601,0.6155743481324877,857,1345,0.30197322057787174,0.7229559916240419,0.7972222222222223,650,64-10,0.9,64-10,0.9,1,1,53.142550999997184
svd_crossover_same_dim,77,77,0.5,,False,2908,2027,4225,0.6970426409903714,1269,2652,0.43638239339752405,0.6847468940415027,0.8222222222222222,2001,64-22-17-10,0.45,64-22-17-10,0.45,247,278,60.953268500001286
svd_crossover_same_dim,78,78,0.5,,False,2828,1639,3203,0.5795615275813296,950,1626,0.3359264497878359,0.594417722848966,0.8333333333333334,2785,64-37-10,0.8,64-37-10,0.8,1,7,58.729602300001716
svd_crossover_same_dim,79,79,0.5,,False,2859,1618,3101,0.5659321441063309,898,1618,0.31409583770549143,0.8048667115686539,0.7972222222222223,2860,64-38-10,0.8,64-38-10,0.8,277,282,56.1434064999994
svd_crossover_same_dim,80,80,0.5,,False,2787,1592,2950,0.5712235378543237,850,1583,0.30498744169357733,0.7238932838782786,0.8277777777777777,2860,64-38-10,0.05,64-13-10,0.4,5,301,55.558025199999975
svd_crossover_same_dim,81,81,0.5,,False,2883,1761,2472,0.6108220603537982,727,1036,0.25216788067984736,1.032581057583125,0.7,650,64-10,0.3,64-37-10,0.5,1,1,52.501115600003686
svd_crossover_same_dim,82,82,0.5,,False,2837,1802,2772,0.6351780049347903,843,1397,0.2971448713429679,0.7649732143012646,0.7833333333333333,650,64-10,1.0,64-10,1.0,1,1,55.11510329999874
svd_crossover_same_dim,83,83,0.5,,False,2858,1732,3291,0.6060181945416375,1009,1969,0.3530440867739678,0.692003223467798,0.7722222222222223,2710,64-36-10,0.45,64-36-10,0.45,7,301,57.49814780000452
svd_crossover_same_dim,84,84,0.5,,False,2822,1832,3678,0.6491849751948973,1309,2552,0.463855421686747,0.5346041504139213,0.8472222222222222,1919,64-21-17-10,0.05,64-20-17-10,0.7,236,293,59.92499459999817
svd_crossover_same_dim,85,85,0.5,,False,2860,2069,2809,0.7234265734265735,591,938,0.20664335664335665,0.7848295156374989,0.7944444444444444,650,64-10,0.95,64-10,0.95,1,1,54.3850564999957
svd_crossover_same_dim,86,86,0.5,,False,2839,1904,3416,0.6706586826347305,1085,2313,0.38217682282493837,0.5903977084824404,0.7833333333333333,2219,64-23-21-10,0.05,64-24-21-10,0.4,236,301,58.39772140000423
svd_crossover_same_dim,87,87,0.5,,False,2872,1818,3170,0.633008356545961,817,1533,0.28447075208913647,0.7545114948040496,0.75,1735,64-23-10,0.7,64-23-10,0.7,67,69,56.01088619999791
svd_crossover_same_dim,88,88,0.5,,False,2896,1720,3093,0.5939226519337016,971,1668,0.33529005524861877,0.6924341772716531,0.8277777777777777,650,64-10,0.05,64-23-10,0.65,1,1,55.86318889999529
svd_crossover_same_dim,89,89,0.5,,False,2897,1964,3657,0.6779426993441491,901,1620,0.3110113910942354,0.5043636413493436,0.8638888888888889,2635,64-35-10,0.65,64-35-10,0.65,53,279,60.0286844000002
svd_crossover_same_dim,90,90,0.5,,False,2907,1678,3115,0.5772273821809426,1052,1851,0.36188510491916065,0.8545214271486237,0.7472222222222222,1960,64-26-10,0.6,64-26-10,0.6,296,300,57.81950869999855
svd_crossover_same_dim,91,91,0.5,,False,2812,1736,3470,0.6173541963015647,1114,2115,0.3961593172119488,0.563722837875122,0.85,1510,64-20-10,0.1,64-21-10,0.35,117,301,58.48788659999991
svd_crossover_same_dim,92,92,0.5,,False,2893,1869,3555,0.6460421707569997,980,1725,0.33874870376771515,0.44478641018646087,0.8722222222222222,2710,64-36-10,0.75,64-36-10,0.75,11,19,61.59258099999715
svd_crossover_same_dim,93,93,0.5,,False,2825,1871,3558,0.6623008849557522,885,1561,0.31327433628318585,0.5743879218802176,0.8694444444444445,2485,64-33-10,0.85,64-33-10,0.85,211,256,59.06910329999664
svd_crossover_same_dim,94,94,0.5,,False,2835,1626,3248,0.5735449735449736,1189,2329,0.4194003527336861,0.6849994391819998,0.7833333333333333,3210,64-34-22-10,0.15,64-34-10,0.7,57,301,59.702927099999215
svd_crossover_same_dim,95,95,0.5,,False,2803,1707,3157,0.608990367463432,1057,1908,0.377095968605066,0.5643355361561595,0.8583333333333333,2710,64-36-10,0.1,64-37-10,0.6,18,301,58.77396730000328
svd_crossover_same_dim,96,96,0.5,,False,2861,1760,3343,0.6151695211464523,1196,2134,0.41803565186997554,0.4743027417903573,0.8666666666666667,1735,64-23-10,0.85,64-23-10,0.85,34,297,58.71148130000074
svd_crossover_same_dim,97,97,0.5,,False,2921,1996,2607,0.6833276275248202,675,1128,0.2310852447791852,0.9240594785544551,0.7333333333333333,650,64-10,0.95,64-10,0.95,1,1,52.62643519999983
svd_crossover_same_dim,98,98,0.5,,False,2863,1706,2475,0.5958784491791826,835,1321,0.2916521131680056,0.9208949040106095,0.7166666666666667,1585,64-21-10,0.7,64-21-10,0.7,99,277,53.53919689999748
svd_crossover_same_dim,99,99,0.5,,False,2847,1865,2746,0.6550755180892167,795,1394,0.2792413066385669,0.8047244939761333,0.7694444444444445,2635,64-35-10,0.35,64-35-10,0.35,103,301,54.138154599997506
