method,run,seed,generation,best_loss,best_accuracy,best_params,best_topology,most_common_topology,most_common_topology_share,unique_topologies,final_topology_share
svd_crossover_same_dim,0,0,132,1.3925318711702168,0.5583333333333333,2410,64-32-10,64-33-10,0.4,4,0.0
svd_crossover_same_dim,0,0,133,1.3925318711702168,0.5583333333333333,2410,64-32-10,64-33-10,0.6,5,0.05
svd_crossover_same_dim,0,0,134,1.3849234353322264,0.5583333333333333,2410,64-32-10,64-32-10,0.45,4,0.0
svd_crossover_same_dim,0,0,135,1.3847896834503985,0.5583333333333333,2335,64-31-10,64-32-10,0.6,6,0.05
svd_crossover_same_dim,0,0,136,1.3847896834503985,0.5583333333333333,2335,64-31-10,64-32-10,0.8,4,0.05
svd_crossover_same_dim,0,0,137,1.373756663241342,0.5611111111111111,2410,64-32-10,64-32-10,0.7,4,0.05
svd_crossover_same_dim,0,0,138,1.3744537786671518,0.5583333333333333,2335,64-31-10,64-32-10,0.55,5,0.1
svd_crossover_same_dim,0,0,139,1.3744537786671518,0.5583333333333333,2335,64-31-10,64-31-10,0.3,7,0.2
svd_crossover_same_dim,0,0,140,1.3629798780427307,0.5611111111111111,2410,64-32-10,64-32-10,0.45,5,0.05
svd_crossover_same_dim,0,0,141,1.362810465319298,0.5611111111111111,2335,64-31-10,64-32-10,0.55,4,0.2
svd_crossover_same_dim,0,0,142,1.3534436381471355,0.5666666666666667,2950,64-32-20-10,64-32-10,0.5,6,0.05
svd_crossover_same_dim,0,0,143,1.3524040999633953,0.5611111111111111,2410,64-32-10,64-31-10,0.4,6,0.05
svd_crossover_same_dim,0,0,144,1.3436896180602764,0.5638888888888889,2865,64-31-20-10,64-32-10,0.55,5,0.0
svd_crossover_same_dim,0,0,145,1.3436896180602764,0.5638888888888889,2865,64-31-20-10,64-32-10,0.4,7,0.05
svd_crossover_same_dim,0,0,146,1.3340897802792862,0.5666666666666667,2865,64-31-20-10,64-31-20-10,0.35,8,0.1
svd_crossover_same_dim,0,0,147,1.3317082694163307,0.5694444444444444,2335,64-31-10,64-32-10,0.3,6,0.05
svd_crossover_same_dim,0,0,148,1.3247834362586894,0.5694444444444444,2950,64-32-20-10,64-31-10,0.5,7,0.1
svd_crossover_same_dim,0,0,149,1.3247389306080797,0.5694444444444444,2335,64-31-10,64-31-10,0.75,4,0.1
svd_crossover_same_dim,0,0,150,1.3161906881249308,0.5916666666666667,1510,64-20-10,64-31-10,0.7,5,0.15
svd_crossover_same_dim,0,0,151,1.3134198734198248,0.5944444444444444,1510,64-20-10,64-20-10,0.4,5,0.0
svd_crossover_same_dim,0,0,152,1.308446674302639,0.5944444444444444,650,64-10,64-20-10,0.55,6,0.05
svd_crossover_same_dim,0,0,153,1.308446674302639,0.5944444444444444,650,64-10,64-10,0.35,5,0.35
svd_crossover_same_dim,0,0,154,1.3043462726542174,0.6,2785,64-37-10,64-21-10,0.35,5,0.3
svd_crossover_same_dim,0,0,155,1.3045845488566121,0.5972222222222222,650,64-10,64-10,0.35,5,0.35
svd_crossover_same_dim,0,0,156,1.3045845488566121,0.5972222222222222,650,64-10,64-10,0.6,4,0.6
svd_crossover_same_dim,0,0,157,1.2948850161927037,0.6,3519,64-37-23-10,64-10,0.55,5,0.55
svd_crossover_same_dim,0,0,158,1.2932914904437387,0.6,2710,64-36-10,64-10,0.5,5,0.5
svd_crossover_same_dim,0,0,159,1.2932914904437387,0.6,2710,64-36-10,64-37-10,0.4,7,0.3
svd_crossover_same_dim,0,0,160,1.2833574297852548,0.6055555555555555,3478,64-36-24-10,64-37-10,0.55,5,0.05
svd_crossover_same_dim,0,0,161,1.2833574297852548,0.6055555555555555,3478,64-36-24-10,64-36-10,0.45,5,0.2
svd_crossover_same_dim,0,0,162,1.2824789813472257,0.6,2710,64-36-10,64-36-10,0.35,6,0.35
svd_crossover_same_dim,0,0,163,1.2835501893163335,0.6083333333333333,650,64-10,64-36-10,0.4,5,0.35
svd_crossover_same_dim,0,0,164,1.2835501893163335,0.6083333333333333,650,64-10,64-10,0.4,4,0.4
svd_crossover_same_dim,0,0,165,1.274884834665063,0.6083333333333333,2635,64-35-10,64-10,0.65,3,0.65
svd_crossover_same_dim,0,0,166,1.2748688262394494,0.6111111111111112,650,64-10,64-36-10,0.5,5,0.2
svd_crossover_same_dim,0,0,167,1.2748688262394494,0.6111111111111112,650,64-10,64-36-10,0.6,4,0.25
svd_crossover_same_dim,0,0,168,1.2748688262394494,0.6111111111111112,650,64-10,64-36-10,0.5,5,0.25
svd_crossover_same_dim,0,0,169,1.2645506684119252,0.6111111111111112,2635,64-35-10,64-10,0.5,4,0.5
svd_crossover_same_dim,0,0,170,1.2645506684119252,0.6111111111111112,2635,64-35-10,64-37-10,0.4,4,0.25
svd_crossover_same_dim,0,0,171,1.2645506684119252,0.6111111111111112,2635,64-35-10,64-35-10,0.3,5,0.3
svd_crossover_same_dim,0,0,172,1.2645506684119252,0.6111111111111112,2635,64-35-10,64-36-10,0.35,4,0.35
svd_crossover_same_dim,0,0,173,1.254403151039268,0.6111111111111112,2710,64-36-10,64-36-10,0.5,3,0.1
svd_crossover_same_dim,0,0,174,1.254403151039268,0.6111111111111112,2710,64-36-10,64-36-10,0.65,5,0.1
svd_crossover_same_dim,0,0,175,1.254403151039268,0.6111111111111112,2710,64-36-10,64-36-10,0.85,4,0.0
svd_crossover_same_dim,0,0,176,1.246896040809327,0.6111111111111112,2635,64-35-10,64-36-10,0.75,4,0.1
svd_crossover_same_dim,0,0,177,1.2444107746449946,0.6138888888888889,2635,64-35-10,64-36-10,0.75,4,0.0
svd_crossover_same_dim,0,0,178,1.2444107746449946,0.6138888888888889,2635,64-35-10,64-36-10,0.55,6,0.05
svd_crossover_same_dim,0,0,179,1.2444107746449946,0.6138888888888889,2635,64-35-10,64-35-10,0.45,3,0.1
svd_crossover_same_dim,0,0,180,1.2443869147938693,0.6111111111111112,650,64-10,64-35-10,0.55,4,0.15
svd_crossover_same_dim,0,0,181,1.2345618378518672,0.6138888888888889,2635,64-35-10,64-35-10,0.65,4,0.25
svd_crossover_same_dim,0,0,182,1.2321312894911185,0.6138888888888889,2560,64-34-10,64-35-10,0.85,4,0.05
svd_crossover_same_dim,0,0,183,1.2321312894911185,0.6138888888888889,2560,64-34-10,64-35-10,0.7,4,0.1
svd_crossover_same_dim,0,0,184,1.2321312894911185,0.6138888888888889,2560,64-34-10,64-35-10,0.7,4,0.1
svd_crossover_same_dim,0,0,185,1.2248991491894212,0.6166666666666667,2635,64-35-10,64-35-10,0.7,4,0.0
svd_crossover_same_dim,0,0,186,1.2248991491894212,0.6166666666666667,2635,64-35-10,64-35-10,0.75,4,0.0
svd_crossover_same_dim,0,0,187,1.2133058313128842,0.6138888888888889,2635,64-35-10,64-35-10,0.7,5,0.05
svd_crossover_same_dim,0,0,188,1.2133058313128842,0.6138888888888889,2635,64-35-10,64-35-10,0.65,3,0.0
svd_crossover_same_dim,0,0,189,1.2133058313128842,0.6138888888888889,2635,64-35-10,64-35-10,0.55,5,0.15
svd_crossover_same_dim,0,0,190,1.2049219945439225,0.6166666666666667,2635,64-35-10,64-35-10,0.4,6,0.05
svd_crossover_same_dim,0,0,191,1.2033100475171996,0.6138888888888889,2560,64-34-10,64-35-10,0.45,5,0.1
svd_crossover_same_dim,0,0,192,1.2033100475171996,0.6138888888888889,2560,64-34-10,64-37-10,0.4,6,0.1
svd_crossover_same_dim,0,0,193,1.2033100475171996,0.6138888888888889,2560,64-34-10,64-34-10,0.45,5,0.1
svd_crossover_same_dim,0,0,194,1.2033100475171996,0.6138888888888889,2560,64-34-10,64-34-10,0.55,7,0.05
svd_crossover_same_dim,0,0,195,1.2033100475171996,0.6138888888888889,2560,64-34-10,64-34-10,0.65,4,0.1
svd_crossover_same_dim,0,0,196,1.1938400421272104,0.6333333333333333,3210,64-34-22-10,64-34-10,0.6,4,0.15
svd_crossover_same_dim,0,0,197,1.193619344841739,0.6333333333333333,2560,64-34-10,64-34-10,0.5,5,0.15
svd_crossover_same_dim,0,0,198,1.193619344841739,0.6333333333333333,2560,64-34-10,64-34-10,0.65,5,0.05
svd_crossover_same_dim,0,0,199,1.193619344841739,0.6333333333333333,2560,64-34-10,64-34-10,0.9,3,0.0
svd_crossover_same_dim,0,0,200,1.1848599253655416,0.6333333333333333,2560,64-34-10,64-34-10,0.8,4,0.1
svd_crossover_same_dim,0,0,201,1.1821336577388526,0.6361111111111111,2485,64-33-10,64-34-10,0.75,5,0.1
svd_crossover_same_dim,0,0,202,1.1821336577388526,0.6361111111111111,2485,64-33-10,64-34-10,0.6,5,0.1
svd_crossover_same_dim,0,0,203,1.174728409717193,0.6361111111111111,3210,64-34-22-10,64-34-10,0.5,4,0.0
svd_crossover_same_dim,0,0,204,1.1743468035252704,0.6361111111111111,2485,64-33-10,64-34-10,0.35,5,0.1
svd_crossover_same_dim,0,0,205,1.1743468035252704,0.6361111111111111,2485,64-33-10,64-34-10,0.5,4,0.05
svd_crossover_same_dim,0,0,206,1.1743468035252704,0.6361111111111111,2485,64-33-10,64-34-10,0.65,3,0.1
svd_crossover_same_dim,0,0,207,1.1555716375793152,0.6333333333333333,2560,64-34-10,64-33-10,0.45,4,0.05
svd_crossover_same_dim,0,0,208,1.1555716375793152,0.6333333333333333,2560,64-34-10,64-33-10,0.35,7,0.1
svd_crossover_same_dim,0,0,209,1.1646275198642908,0.6361111111111111,2485,64-33-10,64-33-10,0.65,6,0.05
svd_crossover_same_dim,0,0,210,1.1646275198642908,0.6361111111111111,2485,64-33-10,64-33-10,0.65,4,0.1
svd_crossover_same_dim,0,0,211,1.1646275198642908,0.6361111111111111,2485,64-33-10,64-33-10,0.8,4,0.0
svd_crossover_same_dim,0,0,212,1.162286013798497,0.6388888888888888,2410,64-32-10,64-33-10,0.7,3,0.0
svd_crossover_same_dim,0,0,213,1.162286013798497,0.6388888888888888,2410,64-32-10,64-33-10,0.55,4,0.15
svd_crossover_same_dim,0,0,214,1.1536709620468675,0.6333333333333333,2410,64-32-10,64-33-10,0.6,5,0.1
svd_crossover_same_dim,0,0,215,1.1536709620468675,0.6333333333333333,2410,64-32-10,64-33-10,0.45,4,0.2
svd_crossover_same_dim,0,0,216,1.1536709620468675,0.6333333333333333,2410,64-32-10,64-33-10,0.5,4,0.1
svd_crossover_same_dim,0,0,217,1.1498173977221702,0.6305555555555555,650,64-10,64-33-10,0.4,5,0.05
svd_crossover_same_dim,0,0,218,1.1448465533263799,0.6388888888888888,2410,64-32-10,64-32-10,0.45,6,0.05
svd_crossover_same_dim,0,0,219,1.1448465533263799,0.6388888888888888,2410,64-32-10,64-32-10,0.3,6,0.1
svd_crossover_same_dim,0,0,220,1.1448465533263799,0.6388888888888888,2410,64-32-10,64-34-10,0.45,4,0.05
svd_crossover_same_dim,0,0,221,1.1448465533263799,0.6388888888888888,2410,64-32-10,64-32-10,0.4,3,0.0
svd_crossover_same_dim,0,0,222,1.1448465533263799,0.6388888888888888,2410,64-32-10,64-33-10,0.45,4,0.1
svd_crossover_same_dim,0,0,223,1.1341508070411446,0.6388888888888888,2410,64-32-10,64-32-10,0.7,4,0.0
svd_crossover_same_dim,0,0,224,1.1341508070411446,0.6388888888888888,2410,64-32-10,64-32-10,0.5,5,0.05
svd_crossover_same_dim,0,0,225,1.1296814692626918,0.6361111111111111,650,64-10,64-33-10,0.5,4,0.2
svd_crossover_same_dim,0,0,226,1.1296814692626918,0.6361111111111111,650,64-10,64-32-10,0.35,6,0.15
svd_crossover_same_dim,0,0,227,1.1244594703501574,0.6416666666666667,2993,64-32-21-10,64-32-10,0.35,6,0.15
svd_crossover_same_dim,0,0,228,1.124151876083988,0.6416666666666667,2260,64-30-10,64-32-10,0.4,10,0.05
svd_crossover_same_dim,0,0,229,1.124151876083988,0.6416666666666667,2260,64-30-10,64-32-10,0.4,6,0.0
svd_crossover_same_dim,0,0,230,1.124151876083988,0.6416666666666667,2260,64-30-10,64-31-10,0.2,8,0.1
svd_crossover_same_dim,0,0,231,1.124151876083988,0.6416666666666667,2260,64-30-10,64-30-10,0.25,7,0.1
svd_crossover_same_dim,0,0,232,1.113018319197367,0.6444444444444445,2993,64-32-21-10,64-30-10,0.35,7,0.05
